Task_ID,Task_Description,Created_Date,Deadline,Est. Hours,Category,Priority,Class,Assigned_To
5335,Article region ok man physical know.,2025-04-08,2025-04-13,4.0,Feature,Low,Technical,U03
5336,Remember friend happy.,2025-04-28,2025-05-06,7.83,Bug,High,Technical,U06
5337,Learn discussion increase which.,2025-01-01,2025-01-02,6.01,Improvement,High,Technical,U10
5338,Interesting half across site six every.,2025-05-14,2025-05-15,4.15,Bug,Low,Research,U09
5339,Staff hair finish role necessary along real.,2025-02-25,2025-02-28,8.0,Improvement,Medium,Research,U02
5340,Family friend similar attention.,2025-04-06,2025-04-07,1.51,Improvement,Medium,Research,U05
5341,Cause investment view though shoulder remember.,2025-03-28,2025-04-06,9.74,Feature,Low,Research,U01
5342,Country staff shake discover.,2025-01-20,2025-01-22,5.25,Improvement,Medium,Support,U04
5343,Customer front field population.,2025-04-24,2025-04-30,1.68,Improvement,Low,Research,U10
5344,Field government maybe adult order writer daughter sport.,2025-05-10,2025-05-17,3.89,Feature,Medium,Technical,U06
5345,Marriage morning yard oil view energy rest.,2025-01-26,2025-01-30,4.47,Improvement,Low,Research,U07
5346,Beautiful close three part discussion provide very ago.,2025-01-09,2025-01-12,8.5,Feature,High,Admin,U09
5347,Base pattern stand news challenge father.,2025-05-25,2025-05-30,6.13,Improvement,High,Research,U05
5348,Up include seem ahead man.,2025-02-16,2025-02-24,6.11,Feature,High,Support,U08
5349,Resource star modern role.,2025-05-15,2025-05-24,1.74,Feature,High,Technical,U10
5350,Head garden risk toward lawyer top idea.,2025-05-12,2025-05-13,4.33,Bug,High,Admin,U07
5351,Expect determine development live outside.,2025-02-02,2025-02-08,1.19,Bug,Medium,Support,U04
5352,Then front wind.,2025-04-28,2025-05-01,5.0,Feature,High,Technical,U07
5353,Bring the design quickly foreign area institution.,2025-05-19,2025-05-29,3.91,Bug,Low,Research,U06
5354,Spring maintain full position.,2025-02-08,2025-02-18,6.2,Improvement,Medium,Support,U02
5355,So become despite.,2025-04-11,2025-04-13,4.05,Improvement,Low,Research,U04
5356,For agreement science explain I will exist daughter.,2025-04-18,2025-04-27,8.04,Improvement,High,Research,U08
5357,Response small level significant up decision find.,2025-03-28,2025-04-02,6.6,Bug,Low,Support,U09
5358,Myself Mrs value.,2025-04-26,2025-04-30,9.98,Feature,Medium,Technical,U10
5359,Field action read civil voice hotel.,2025-01-27,2025-02-06,2.33,Bug,Medium,Research,U10
5360,Appear market bit outside.,2025-04-19,2025-04-29,4.58,Feature,Medium,Research,U01
5361,Good hear nature store theory.,2025-01-14,2025-01-20,7.97,Improvement,High,Research,U05
5362,Authority within reality.,2025-04-23,2025-04-25,1.54,Improvement,Medium,Admin,U01
5363,Actually central strong pass food.,2025-02-25,2025-03-05,8.7,Improvement,Medium,Research,U04
5364,Charge writer product yet.,2025-02-05,2025-02-07,7.38,Bug,Medium,Technical,U02
5365,Various star box data.,2025-04-16,2025-04-26,5.82,Bug,Low,Research,U05
5366,System floor free range exactly laugh interesting.,2025-03-13,2025-03-20,9.31,Improvement,Medium,Admin,U05
5367,Authority north control race.,2025-01-08,2025-01-10,2.2,Bug,Medium,Technical,U01
5368,Hear give hit their western page.,2025-03-22,2025-03-30,1.14,Bug,High,Admin,U03
5369,Support reflect social system.,2025-05-19,2025-05-26,7.76,Improvement,Low,Research,U05
5370,That red cover anything matter their once.,2025-01-05,2025-01-06,5.29,Bug,Medium,Admin,U04
5371,What mouth threat wind paper sport history.,2025-02-22,2025-02-27,3.1,Bug,Medium,Research,U09
5372,Serious continue quality agree fish base.,2025-02-14,2025-02-20,1.95,Feature,Medium,Admin,U06
5373,Individual work break today life itself fill.,2025-04-28,2025-04-29,1.11,Improvement,High,Admin,U02
5374,School feel both character determine peace physical ability.,2025-04-09,2025-04-16,4.48,Feature,Low,Admin,U07
5375,Themselves hot officer step very.,2025-03-27,2025-03-28,4.63,Improvement,Low,Research,U01
5376,Policy employee prepare sea defense stock front.,2025-05-16,2025-05-17,4.45,Bug,High,Support,U08
5377,Decade great member wind while once yeah face.,2025-02-18,2025-02-23,1.81,Improvement,High,Research,U04
5378,A worry four rise teach note.,2025-05-03,2025-05-09,8.02,Improvement,Low,Research,U08
5379,Sport tough help seek.,2025-01-25,2025-01-28,5.37,Feature,Medium,Support,U02
5380,Ok most only while unit film.,2025-02-27,2025-03-07,4.84,Bug,Low,Research,U06
5381,Moment sing song morning subject oil seven.,2025-02-16,2025-02-22,3.14,Improvement,High,Technical,U09
5382,Form factor early.,2025-02-11,2025-02-15,7.47,Feature,Medium,Support,U07
5383,Me investment law daughter large while matter.,2025-03-05,2025-03-08,1.86,Improvement,High,Research,U04
5384,Scientist point ability fall floor million that.,2025-03-26,2025-04-05,5.97,Improvement,Medium,Admin,U09
5385,Country question yard determine official east worker.,2025-02-18,2025-02-25,1.57,Bug,Medium,Research,U01
5386,Should Mrs teach.,2025-02-12,2025-02-22,2.68,Feature,Medium,Technical,U02
5387,Fine money maintain painting sister rather.,2025-03-31,2025-04-03,5.82,Feature,High,Research,U06
5388,Plant man lose dark laugh already.,2025-01-10,2025-01-20,3.44,Bug,Medium,Technical,U08
5389,Foreign agree stock American value.,2025-01-25,2025-01-28,1.19,Bug,Low,Technical,U07
5390,Recognize good garden.,2025-05-23,2025-05-31,4.02,Feature,Medium,Research,U07
5391,People middle whom when care will culture president.,2025-05-06,2025-05-07,9.72,Bug,Low,Technical,U10
5392,To senior money value whole fact.,2025-01-10,2025-01-14,4.64,Bug,High,Technical,U03
5393,Measure whatever trip group.,2025-05-23,2025-06-02,9.43,Bug,Medium,Support,U10
5394,Voice toward though practice fact officer class.,2025-02-22,2025-03-03,4.67,Feature,Medium,Support,U07
5395,Each campaign state news response together campaign.,2025-02-27,2025-03-07,8.0,Improvement,Medium,Research,U03
5396,Interest author could fill.,2025-04-19,2025-04-27,2.63,Feature,Low,Support,U03
5397,Most role reach old born.,2025-05-23,2025-05-25,2.92,Improvement,Low,Admin,U09
5398,Season movie expect store city when.,2025-03-22,2025-04-01,3.84,Improvement,High,Admin,U08
5399,Notice also direction political official go reach glass.,2025-03-07,2025-03-16,4.85,Bug,High,Support,U10
5400,Compare building catch technology become base direction since.,2025-05-03,2025-05-10,3.91,Bug,High,Support,U07
5401,Might red well tell case.,2025-02-08,2025-02-15,1.61,Improvement,Low,Research,U07
5402,Laugh but heavy address.,2025-03-11,2025-03-16,6.47,Feature,Medium,Support,U03
5403,Common series rock candidate reveal.,2025-03-12,2025-03-20,5.69,Improvement,High,Research,U08
5404,Century dream question up concern explain second.,2025-04-09,2025-04-18,1.35,Bug,High,Support,U04
5405,They senior against.,2025-03-12,2025-03-15,6.92,Feature,Medium,Research,U05
5406,Ago note mouth note west.,2025-02-26,2025-03-01,7.65,Bug,High,Technical,U08
5407,Price cover because wide national.,2025-05-03,2025-05-08,2.54,Improvement,High,Technical,U09
5408,Establish deal language man know foreign.,2025-01-23,2025-01-24,8.43,Improvement,Low,Technical,U03
5409,Interesting election quickly I reflect our.,2025-01-11,2025-01-14,5.24,Feature,Medium,Research,U10
5410,Old per decade run small suffer.,2025-03-15,2025-03-19,3.89,Improvement,Medium,Support,U08
5411,Worry child because picture white century.,2025-04-27,2025-04-29,6.75,Improvement,Medium,Admin,U03
5412,Major short suffer full.,2025-01-17,2025-01-23,9.99,Feature,Low,Admin,U03
5413,Often enjoy itself.,2025-03-04,2025-03-08,2.77,Improvement,High,Research,U02
5414,Follow peace central marriage.,2025-03-21,2025-03-22,8.03,Improvement,Medium,Technical,U10
5415,Compare his box produce.,2025-02-07,2025-02-09,1.58,Bug,Medium,Admin,U05
5416,Beautiful subject vote civil customer.,2025-02-22,2025-02-26,5.6,Bug,High,Research,U04
5417,Those mention star agent peace.,2025-01-18,2025-01-25,9.43,Bug,Medium,Support,U03
5418,Authority happy speak nothing until although deep perform.,2025-02-14,2025-02-16,4.02,Feature,Medium,Support,U02
5419,Doctor ago song quite her example hope.,2025-04-24,2025-04-27,5.42,Bug,Low,Technical,U08
5420,Produce local administration he away turn.,2025-05-05,2025-05-12,9.29,Bug,Low,Technical,U08
5421,Policy make news full war give still suggest.,2025-03-11,2025-03-19,3.38,Improvement,Low,Research,U02
5422,Allow concern animal hold debate reduce and.,2025-01-23,2025-01-30,6.15,Bug,Low,Technical,U03
5423,Pull where happy her firm let employee.,2025-02-13,2025-02-19,4.66,Feature,Low,Technical,U03
5424,Training customer material under up away them.,2025-02-24,2025-03-05,2.07,Bug,High,Support,U01
5425,Among realize live development score over lose.,2025-05-12,2025-05-16,6.93,Improvement,Medium,Admin,U01
5426,Across girl lawyer.,2025-03-20,2025-03-26,9.1,Improvement,Medium,Technical,U09
5427,Type east manage agent fight action.,2025-02-14,2025-02-23,9.9,Improvement,Low,Support,U10
5428,Point sing ask.,2025-01-02,2025-01-06,4.23,Feature,Medium,Support,U03
5429,Unit situation policy.,2025-02-03,2025-02-09,3.09,Improvement,High,Research,U07
5430,Produce her personal able doctor send black.,2025-03-21,2025-03-23,4.33,Bug,Low,Support,U07
5431,Social name commercial nation yet.,2025-01-27,2025-02-01,8.22,Improvement,Low,Research,U01
5432,Light building easy ask else get win beautiful.,2025-03-01,2025-03-02,8.07,Improvement,Low,Technical,U02
5433,In old take vote also concern forward.,2025-05-14,2025-05-17,5.12,Bug,Low,Admin,U05
5434,Old develop road on.,2025-03-15,2025-03-16,2.69,Bug,High,Admin,U07
5435,Life whole crime child apply past detail film.,2025-03-29,2025-04-06,1.22,Bug,High,Research,U10
5436,Head hundred final agent one.,2025-04-11,2025-04-21,5.14,Feature,Medium,Research,U04
5437,Gun star boy start state.,2025-04-29,2025-05-08,9.63,Improvement,Low,Admin,U07
5438,Everyone break wish sign Republican.,2025-03-22,2025-03-30,9.42,Bug,High,Technical,U05
5439,Address week right find performance role recent.,2025-03-25,2025-03-29,2.84,Bug,High,Research,U10
5440,Rather find just until your success.,2025-03-03,2025-03-05,6.72,Improvement,High,Research,U10
5441,One hand yeah buy drop item seat.,2025-03-18,2025-03-25,9.36,Feature,Medium,Research,U07
5442,Cold tax grow region investment such.,2025-01-30,2025-02-05,5.94,Feature,Low,Technical,U02
5443,Station age act control level anyone.,2025-02-14,2025-02-15,4.13,Bug,Medium,Technical,U09
5444,Off lot chance court already buy culture.,2025-05-02,2025-05-04,6.48,Improvement,Medium,Research,U09
5445,Sister system yeah keep music.,2025-01-08,2025-01-16,8.89,Bug,Low,Research,U08
5446,Late list sense.,2025-01-20,2025-01-24,8.44,Feature,High,Technical,U03
5447,Money official perhaps act institution.,2025-02-11,2025-02-13,7.03,Bug,Medium,Support,U06
5448,Special benefit three use exist citizen.,2025-02-11,2025-02-16,1.67,Improvement,Low,Admin,U02
5449,Security commercial fact else add.,2025-03-26,2025-04-05,8.81,Improvement,Low,Admin,U04
5450,Able popular effort need full.,2025-01-18,2025-01-26,4.22,Feature,High,Admin,U05
5451,Lose whole describe range.,2025-03-16,2025-03-19,6.84,Bug,Medium,Research,U05
5452,Color face bag artist key bag.,2025-02-07,2025-02-16,6.56,Improvement,Medium,Support,U07
5453,Century administration successful college media Republican.,2025-04-25,2025-04-29,9.31,Bug,Low,Admin,U03
5454,Series large spend spring however.,2025-04-09,2025-04-13,3.28,Improvement,High,Research,U04
5455,Accept American somebody visit.,2025-02-03,2025-02-07,7.25,Bug,High,Admin,U08
5456,Camera store since best religious.,2025-02-22,2025-02-27,3.55,Bug,Low,Technical,U02
5457,Expert material daughter enjoy middle debate.,2025-02-20,2025-02-21,3.28,Improvement,High,Support,U02
5458,Moment material live cell meeting party animal.,2025-03-18,2025-03-28,7.75,Bug,High,Support,U10
5459,Apply young order dog.,2025-01-06,2025-01-09,3.36,Feature,Medium,Support,U10
5460,Since network western board cultural.,2025-01-13,2025-01-23,1.49,Improvement,Low,Technical,U03
5461,Pick assume east.,2025-05-19,2025-05-27,8.99,Bug,High,Research,U02
5462,Part bill book game rich.,2025-05-16,2025-05-18,5.36,Improvement,High,Admin,U04
5463,Forward share well then call.,2025-05-20,2025-05-29,3.39,Improvement,Low,Admin,U07
5464,Camera security service.,2025-05-06,2025-05-09,5.07,Bug,Medium,Admin,U07
5465,Painting already course southern house seem task.,2025-05-05,2025-05-13,8.46,Bug,High,Technical,U01
5466,Price election onto your lot song several.,2025-01-03,2025-01-10,4.58,Improvement,High,Research,U06
5467,Computer street particularly race dark minute voice again.,2025-03-24,2025-03-28,2.07,Bug,Low,Research,U07
5468,Themselves property hope deep.,2025-05-08,2025-05-09,9.2,Improvement,High,Research,U02
5469,Economic represent protect.,2025-03-11,2025-03-12,5.27,Bug,Medium,Research,U09
5470,Attack challenge mother piece large last.,2025-02-09,2025-02-17,1.65,Feature,Medium,Support,U07
5471,Pretty if owner green.,2025-04-01,2025-04-03,6.77,Feature,High,Admin,U05
5472,Issue produce miss share within offer.,2025-05-01,2025-05-10,3.53,Bug,Medium,Technical,U02
5473,Opportunity both product both we.,2025-05-22,2025-05-24,6.61,Improvement,Medium,Research,U05
5474,Sense social inside performance season final thank product.,2025-04-10,2025-04-15,7.86,Improvement,Low,Admin,U01
5475,Suddenly sit citizen across rich see.,2025-05-20,2025-05-26,5.55,Improvement,High,Research,U05
5476,Wall include leader interview.,2025-04-02,2025-04-09,3.93,Bug,Low,Support,U04
5477,Structure build assume pressure staff police western.,2025-04-10,2025-04-12,1.14,Bug,High,Support,U10
5478,Crime wait each according board region edge.,2025-05-15,2025-05-20,5.44,Bug,Low,Technical,U02
5479,Remember board phone prevent all exist others every.,2025-01-09,2025-01-12,5.92,Feature,Medium,Research,U03
5480,Explain chair laugh card.,2025-02-08,2025-02-14,4.28,Feature,Low,Admin,U03
5481,Dark quite message traditional.,2025-05-15,2025-05-16,2.27,Improvement,Low,Support,U09
5482,During blood really civil significant only.,2025-03-24,2025-03-31,1.12,Improvement,Low,Technical,U05
5483,Action boy chair likely couple.,2025-02-11,2025-02-18,8.48,Bug,Medium,Research,U08
5484,Teacher mission couple either join discuss.,2025-05-20,2025-05-23,3.75,Feature,Low,Research,U01
5485,Quickly TV teach better attention region side.,2025-01-07,2025-01-14,9.06,Bug,High,Admin,U02
5486,Onto beat water popular environmental.,2025-01-07,2025-01-11,5.4,Feature,Low,Support,U04
5487,Minute force than star class.,2025-03-19,2025-03-24,1.1,Feature,High,Support,U09
5488,Choose senior half particularly individual mean war yeah.,2025-03-01,2025-03-05,7.95,Improvement,Low,Support,U01
5489,Energy always I senior word free.,2025-05-18,2025-05-21,8.2,Bug,High,Admin,U09
5490,Model glass arrive by account long prove affect.,2025-02-21,2025-02-25,3.73,Feature,Medium,Research,U06
5491,Health chance prepare reality main offer five.,2025-02-18,2025-02-28,8.84,Improvement,Low,Admin,U03
5492,Choice everything rich.,2025-05-08,2025-05-09,9.05,Feature,High,Support,U09
5493,Respond development skill red world season film our.,2025-01-21,2025-01-30,2.47,Bug,High,Technical,U07
5494,Foreign then under effort expect more who.,2025-05-21,2025-05-30,4.4,Bug,Low,Support,U03
5495,Young gas daughter expect deal through.,2025-05-09,2025-05-10,4.83,Improvement,Low,Technical,U09
5496,Trip doctor beyond son trip.,2025-02-15,2025-02-24,2.66,Improvement,Medium,Technical,U09
5497,Any too sure able force.,2025-02-07,2025-02-08,7.78,Bug,Medium,Support,U01
5498,Pressure decade all history.,2025-02-11,2025-02-19,8.47,Bug,Low,Technical,U08
5499,Set Mr food per on choice.,2025-04-13,2025-04-19,5.91,Bug,Medium,Support,U07
5500,Community before because late bar social run pick.,2025-05-17,2025-05-25,6.48,Feature,Low,Support,U04
5501,Modern five right.,2025-03-21,2025-03-27,9.28,Feature,Medium,Technical,U07
5502,Firm finish light certainly.,2025-03-04,2025-03-09,5.22,Bug,Low,Support,U03
5503,Nature worry view visit create staff for.,2025-04-10,2025-04-11,8.3,Feature,Medium,Technical,U08
5504,Lay image now.,2025-03-21,2025-03-29,3.35,Feature,High,Technical,U06
5505,Opportunity represent out area house place while both.,2025-02-02,2025-02-08,2.57,Improvement,Medium,Technical,U03
5506,Animal million bag everything defense phone.,2025-05-24,2025-06-01,7.87,Bug,Medium,Support,U10
5507,During agency size tax.,2025-04-30,2025-05-09,9.7,Bug,Medium,Research,U09
5508,Himself design down green such produce professor.,2025-04-22,2025-05-01,8.78,Bug,High,Technical,U09
5509,Left least and quality.,2025-01-16,2025-01-26,9.18,Improvement,Low,Admin,U10
5510,Child maintain card size.,2025-03-11,2025-03-15,8.34,Improvement,Low,Admin,U08
5511,Lawyer deal though force drive suggest.,2025-04-06,2025-04-13,6.45,Improvement,Medium,Research,U01
5512,Eat change full student attack.,2025-04-04,2025-04-13,9.79,Improvement,High,Admin,U02
5513,Yourself although discuss worker.,2025-03-17,2025-03-22,3.56,Feature,Low,Technical,U03
5514,Trial money across debate forward institution look.,2025-05-19,2025-05-20,6.17,Feature,High,Admin,U04
5515,Mention coach maybe certainly thank drug.,2025-03-14,2025-03-20,6.71,Bug,Low,Admin,U07
5516,Forward career father worry decade indicate material.,2025-01-19,2025-01-24,9.31,Improvement,Low,Support,U10
5517,Accept prevent drive box special.,2025-03-18,2025-03-24,7.06,Improvement,Low,Admin,U09
5518,Finish forget church note everybody.,2025-02-07,2025-02-11,6.74,Improvement,Low,Research,U01
5519,Two start employee game do.,2025-03-08,2025-03-12,6.67,Feature,High,Support,U07
5520,Energy because available feel once section.,2025-04-04,2025-04-06,3.75,Bug,Low,Admin,U02
5521,Study hit but probably.,2025-04-04,2025-04-12,3.17,Bug,Medium,Technical,U09
5522,Hour establish draw argue participant.,2025-02-23,2025-02-28,5.37,Bug,Medium,Research,U04
5523,Anyone government increase wide artist.,2025-05-18,2025-05-25,4.27,Feature,High,Technical,U08
5524,Book environmental job region country after.,2025-04-06,2025-04-12,3.85,Bug,High,Support,U07
5525,Cover research strategy strong tend.,2025-04-15,2025-04-20,3.86,Feature,High,Admin,U07
5526,Great long try finally protect.,2025-02-18,2025-02-25,1.46,Improvement,High,Support,U10
5527,Daughter today read last.,2025-04-16,2025-04-20,6.5,Feature,High,Research,U10
5528,Threat though firm treat cost town magazine.,2025-05-13,2025-05-22,8.6,Feature,High,Admin,U07
5529,Prove but exactly generation.,2025-03-14,2025-03-20,8.71,Feature,Low,Admin,U08
5530,Bad outside keep traditional section same police.,2025-05-06,2025-05-07,5.13,Improvement,High,Admin,U06
5531,Air skill them.,2025-01-16,2025-01-18,2.39,Bug,Low,Support,U07
5532,Join western account successful.,2025-05-09,2025-05-13,1.87,Feature,Low,Support,U03
5533,Agency same ago black view.,2025-03-02,2025-03-08,7.5,Feature,Medium,Technical,U02
5534,Act dinner thing free.,2025-02-28,2025-03-10,6.09,Feature,Low,Admin,U07
5535,Law likely none both black himself born.,2025-03-12,2025-03-18,1.15,Bug,Low,Technical,U08
5536,Himself organization decide minute it.,2025-03-13,2025-03-18,8.84,Feature,Medium,Admin,U06
5537,Father election style figure cup social our.,2025-03-16,2025-03-20,6.65,Bug,Medium,Research,U04
5538,Order remain what charge better prepare memory cold.,2025-03-09,2025-03-11,8.08,Improvement,High,Research,U06
5539,Peace those medical yourself collection.,2025-01-09,2025-01-14,9.61,Bug,High,Technical,U03
5540,Seven style television.,2025-01-13,2025-01-21,9.34,Improvement,High,Technical,U07
5541,You could safe successful father similar.,2025-01-21,2025-01-28,6.54,Feature,Medium,Admin,U09
5542,Base attack often most.,2025-02-18,2025-02-23,4.51,Feature,High,Admin,U04
5543,Physical hour shake kitchen experience.,2025-02-28,2025-03-05,5.49,Feature,Medium,Admin,U04
5544,Always ten chance land size economy walk.,2025-02-22,2025-03-02,4.1,Improvement,Low,Support,U04
5545,Red fear eat should its.,2025-03-14,2025-03-16,9.27,Bug,Low,Support,U07
5546,Mean experience economic public church various former.,2025-03-21,2025-03-27,4.93,Feature,High,Admin,U06
5547,Body community tell television especially weight.,2025-04-11,2025-04-12,4.03,Improvement,Medium,Technical,U06
5548,Should attorney difficult case.,2025-03-20,2025-03-30,6.5,Bug,High,Support,U07
5549,Floor throw environment safe shoulder science give.,2025-02-26,2025-03-07,7.96,Feature,High,Research,U05
5550,Finish leg development watch.,2025-05-10,2025-05-15,3.04,Bug,High,Admin,U10
5551,Her head camera couple.,2025-04-20,2025-04-21,9.78,Bug,Medium,Technical,U07
5552,Whole chair it reveal mouth.,2025-05-10,2025-05-14,4.37,Bug,Medium,Admin,U03
5553,Time half be when.,2025-05-26,2025-06-02,4.0,Feature,High,Support,U05
5554,Pass enjoy fast finish range.,2025-02-02,2025-02-06,4.7,Improvement,Medium,Technical,U04
5555,Economic oil sometimes herself term finally lay.,2025-05-16,2025-05-21,7.32,Bug,Medium,Technical,U06
5556,Degree myself politics night personal.,2025-04-27,2025-05-07,9.31,Improvement,Low,Research,U02
5557,Later kind spend store community.,2025-05-21,2025-05-30,4.37,Bug,High,Support,U07
5558,If war though leg night image likely.,2025-05-26,2025-06-03,3.28,Improvement,Medium,Technical,U06
5559,Mrs policy professor today evidence avoid.,2025-02-18,2025-02-26,8.48,Feature,Low,Research,U08
5560,Water wife approach consumer plan page return speech.,2025-04-12,2025-04-17,8.39,Improvement,Medium,Research,U01
5561,Home wide budget process.,2025-02-07,2025-02-16,2.34,Bug,High,Research,U04
5562,Speech even cover boy player least.,2025-01-28,2025-02-07,7.83,Bug,Medium,Technical,U09
5563,Company use mission sport note fine her.,2025-05-04,2025-05-06,8.18,Improvement,High,Technical,U01
5564,Phone citizen mouth cell.,2025-02-23,2025-02-26,6.03,Bug,Low,Support,U10
5565,True brother move idea college security.,2025-05-17,2025-05-22,2.09,Bug,High,Admin,U03
5566,Site door author police less.,2025-03-12,2025-03-21,4.55,Feature,Low,Research,U08
5567,Church morning class under.,2025-04-11,2025-04-13,8.44,Feature,Medium,Technical,U10
5568,Customer tonight election live.,2025-03-24,2025-03-29,8.5,Feature,Low,Technical,U10
5569,Up huge marriage might prove allow.,2025-02-23,2025-02-24,6.87,Bug,High,Admin,U03
5570,President hotel risk red candidate media production drop.,2025-01-14,2025-01-17,3.9,Bug,High,Research,U04
5571,Assume behind meeting trip growth.,2025-02-13,2025-02-14,4.81,Feature,High,Support,U05
5572,Determine subject which fast interesting.,2025-02-14,2025-02-20,5.61,Improvement,High,Admin,U06
5573,Series enter find.,2025-03-14,2025-03-24,5.71,Bug,High,Support,U09
5574,Already letter matter public its simply report.,2025-03-13,2025-03-20,9.79,Bug,Medium,Research,U02
5575,Effort feel bed trouble.,2025-03-04,2025-03-10,7.2,Improvement,Low,Admin,U01
5576,Building our those hope type.,2025-01-14,2025-01-24,1.1,Improvement,Medium,Research,U10
5577,Finally home man response difficult the.,2025-04-02,2025-04-09,7.95,Bug,High,Admin,U01
5578,Recently where effort entire everybody.,2025-04-01,2025-04-04,1.43,Bug,Medium,Research,U08
5579,Want bad including subject.,2025-04-21,2025-04-29,7.46,Feature,Medium,Support,U04
5580,Wall upon soldier lawyer real laugh.,2025-04-05,2025-04-09,3.42,Bug,Low,Research,U05
5581,Wife significant little.,2025-05-09,2025-05-13,5.08,Improvement,High,Admin,U05
5582,Between opportunity bed firm.,2025-04-07,2025-04-16,9.68,Feature,High,Admin,U08
5583,Series final leg national.,2025-04-06,2025-04-15,3.44,Bug,High,Research,U02
5584,Meeting arrive day draw cover phone general.,2025-05-01,2025-05-08,1.61,Bug,Medium,Support,U06
5585,According wife at morning window sell.,2025-03-05,2025-03-13,1.81,Improvement,Low,Admin,U04
5586,Summer enough sell health option attention.,2025-01-09,2025-01-17,6.52,Improvement,Medium,Technical,U01
5587,Than positive building reduce.,2025-02-23,2025-03-01,6.67,Bug,Medium,Research,U06
5588,Whatever analysis much some.,2025-01-21,2025-01-30,8.09,Improvement,Low,Research,U01
5589,Reason visit economy sport gas.,2025-04-21,2025-04-28,6.8,Feature,Low,Admin,U02
5590,Course safe around floor whatever clearly ever.,2025-03-03,2025-03-06,3.54,Improvement,Low,Support,U02
5591,Record public inside head news likely.,2025-02-28,2025-03-05,2.93,Bug,Medium,Research,U06
5592,Key opportunity financial administration sit.,2025-04-19,2025-04-24,2.47,Improvement,Low,Admin,U07
5593,Note former it middle push agency similar.,2025-03-17,2025-03-27,4.12,Bug,High,Support,U07
5594,Whose election employee common record body house around.,2025-02-04,2025-02-05,6.65,Improvement,Medium,Admin,U09
5595,Low realize partner voice together contain.,2025-04-16,2025-04-26,9.2,Bug,Medium,Admin,U02
5596,Part show yard blue notice fight benefit.,2025-03-03,2025-03-11,5.75,Improvement,Low,Support,U05
5597,War cultural finish evidence face.,2025-03-13,2025-03-18,1.4,Improvement,Low,Technical,U05
5598,Interest ground specific group skin financial hold expert.,2025-03-08,2025-03-13,6.48,Improvement,Medium,Technical,U02
5599,Five example nor first protect guy.,2025-04-26,2025-04-28,8.13,Bug,High,Technical,U09
5600,Free look perhaps likely window important each.,2025-01-06,2025-01-09,4.21,Bug,High,Admin,U10
5601,Best price customer again side.,2025-02-17,2025-02-24,3.56,Bug,Medium,Technical,U01
5602,Hot peace task policy character reach miss.,2025-05-17,2025-05-24,3.86,Bug,Medium,Support,U02
5603,House why hand another vote.,2025-05-24,2025-06-01,8.43,Bug,Medium,Research,U09
5604,Simply series sense site.,2025-01-18,2025-01-22,7.52,Feature,Low,Research,U04
5605,Career structure free general game.,2025-01-29,2025-02-05,6.76,Bug,Low,Support,U06
5606,Part debate red number everybody himself.,2025-03-30,2025-04-06,2.03,Bug,High,Support,U05
5607,Item what data everyone sea garden.,2025-05-24,2025-05-28,2.92,Feature,High,Technical,U02
5608,Say personal over.,2025-05-09,2025-05-17,8.09,Improvement,High,Technical,U09
5609,Yeah dog I economic establish accept.,2025-02-23,2025-03-01,8.75,Improvement,High,Support,U08
5610,Herself dream rate particular pretty keep yourself.,2025-01-07,2025-01-16,8.33,Improvement,High,Research,U04
5611,Structure rock their base.,2025-01-07,2025-01-13,7.97,Feature,Low,Admin,U10
5612,Everything lead simple fish.,2025-03-12,2025-03-20,6.17,Improvement,Low,Support,U08
5613,Can represent else notice significant beyond imagine above.,2025-01-16,2025-01-25,9.98,Improvement,Low,Technical,U10
5614,Truth news area business reveal police executive.,2025-01-08,2025-01-12,6.92,Bug,High,Support,U03
5615,Loss safe quality catch current dream.,2025-02-06,2025-02-12,4.16,Improvement,High,Technical,U01
5616,Area itself land wish federal improve consider age.,2025-04-13,2025-04-17,7.44,Improvement,Medium,Admin,U04
5617,Man sound similar herself garden capital degree.,2025-05-01,2025-05-06,6.79,Feature,High,Admin,U07
5618,She court serious me miss establish including finish.,2025-01-08,2025-01-12,2.29,Bug,Medium,Technical,U05
5619,Indeed reduce about analysis finally level before.,2025-05-10,2025-05-15,1.7,Improvement,Medium,Support,U07
5620,Environmental simply next walk compare you condition should.,2025-03-27,2025-03-31,7.59,Improvement,Medium,Admin,U04
5621,Plan care teach same doctor across.,2025-04-05,2025-04-13,2.15,Improvement,Medium,Support,U07
5622,Fast assume thousand way.,2025-05-20,2025-05-25,7.89,Improvement,Medium,Technical,U02
5623,Product it ago wear fear.,2025-04-26,2025-05-05,5.18,Bug,High,Admin,U02
5624,Land piece stage light these remain.,2025-04-17,2025-04-24,5.52,Bug,High,Research,U02
5625,Care best able discussion own long agree.,2025-05-17,2025-05-18,3.41,Bug,High,Support,U03
5626,Avoid skill start wish phone.,2025-02-09,2025-02-18,8.11,Feature,Medium,Admin,U03
5627,Run force radio.,2025-02-10,2025-02-18,3.91,Feature,High,Admin,U08
5628,Wall similar issue field.,2025-03-10,2025-03-20,8.34,Improvement,Low,Admin,U09
5629,Test former decade onto card.,2025-05-25,2025-06-04,3.57,Improvement,High,Support,U03
5630,Career hear attack ok finally work.,2025-03-13,2025-03-18,9.78,Feature,Medium,Technical,U09
5631,Admit mean accept party important rather clear.,2025-02-11,2025-02-15,3.03,Feature,Medium,Support,U05
